PU_01,PU_02,PU_03,CO_01,CO_02,CO_03,EOU_01,EOU_02,EOU_03,EMV_01,EMV_02,EMV_03,AD_01,AD_02,AD_03,USE_01,Gender,Age,Education,Ebook_reader_ownership
4,3,3,3,3,3,5,5,4,4,3,3,2,2,2,2,2,27,6,2
3,1,4,3,3,4,4,4,2,4,4,3,5,4,4,3,2,68,6,1
4,4,4,3,3,4,4,4,4,4,4,4,4,4,4,3,1,29,5,2
4,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,1,60,4,2
4,4,4,4,4,4,4,4,4,3,3,4,4,4,4,5,2,50,6,1
5,4,3,4,4,3,4,3,4,4,4,4,4,4,3,5,1,48,3,1
5,3,4,3,4,4,3,4,3,3,3,4,4,4,4,2,1,43,6,2
2,3,3,1,2,4,4,4,4,4,4,4,3,3,3,2,1,42,6,2
1,1,2,1,1,1,3,3,3,4,3,4,4,2,4,2,2,44,4,2
3,4,4,3,2,2,4,4,4,4,3,2,5,5,5,7,1,56,5,1
4,5,4,4,4,4,5,5,5,4,4,4,4,3,4,3,1,40,3,2
4,4,5,4,4,4,4,4,4,4,3,4,5,5,5,5,1,27,6,1
4,3,4,4,4,4,5,5,4,5,5,4,5,4,5,6,1,55,3,2
3,2,2,1,1,1,4,5,5,3,3,3,3,3,2,2,2,47,6,2
3,4,3,3,4,3,4,4,4,5,5,5,5,5,5,4,1,71,2,1
4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,6,1,37,4,1
5,3,5,5,5,5,5,5,5,5,5,5,5,5,5,6,1,65,4,1
5,3,4,4,4,4,5,4,4,4,4,4,4,4,4,3,1,47,4,2
1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,36,1,2
4,3,3,4,4,4,3,3,3,3,3,3,3,3,3,1,2,28,2,2
4,4,4,4,4,4,5,5,2,4,3,3,5,3,4,3,2,62,5,1
3,3,4,3,3,3,3,4,4,4,4,4,4,2,3,2,2,64,3,2
5,3,5,4,4,4,4,4,4,4,4,4,4,3,4,5,2,60,1,2
5,5,5,3,3,4,4,3,4,4,4,4,4,4,4,6,1,60,5,1
4,2,5,4,4,4,5,5,5,4,3,4,4,3,4,4,1,29,6,1
4,3,3,3,3,4,5,5,5,4,3,3,5,5,5,6,1,56,5,2
3,3,5,3,3,3,5,4,3,3,3,3,3,3,3,2,2,26,5,2
3,3,3,3,3,3,3,4,4,4,3,3,3,3,3,3,1,68,3,1
1,1,1,1,1,1,5,5,5,4,1,1,1,1,1,3,1,27,6,1
4,4,5,4,4,4,5,5,4,4,4,4,5,5,5,6,2,51,6,1
3,2,2,2,3,4,3,2,2,4,4,4,5,5,5,5,1,57,3,1
3,3,4,2,4,4,5,5,4,4,4,4,4,4,4,4,2,34,4,2
3,5,5,4,3,5,5,5,5,5,4,4,5,4,5,5,1,72,4,1
5,5,5,5,5,5,5,4,4,4,4,4,5,5,5,6,1,40,5,1
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,7,1,40,5,1
4,3,3,2,3,4,2,3,3,2,4,4,3,3,3,3,2,36,5,2
4,3,4,4,5,4,5,3,4,5,4,5,4,4,5,6,2,40,5,1
